Zip,state,Primary eGRID Subregion,Subregion annual CO2e output emission rate (lb/MWh)
01236,MA,NEWE,727.603
01237,MA,NEWE,727.603
01238,MA,NEWE,727.603
01240,MA,NEWE,727.603
01242,MA,NEWE,727.603
01243,MA,NEWE,727.603
01244,MA,NEWE,727.603
01245,MA,NEWE,727.603
01247,MA,NEWE,727.603
01252,MA,NEWE,727.603
01253,MA,NEWE,727.603
01254,MA,NEWE,727.603
01255,MA,NEWE,727.603
01256,MA,NEWE,727.603
01257,MA,NEWE,727.603
01258,MA,NEWE,727.603
01259,MA,NEWE,727.603
01260,MA,NEWE,727.603
01262,MA,NEWE,727.603
01263,MA,NEWE,727.603
01264,MA,NEWE,727.603
01266,MA,NEWE,727.603
01267,MA,NEWE,727.603
01270,MA,NEWE,727.603
01301,MA,NEWE,727.603
01302,MA,NEWE,727.603
01330,MA,NEWE,727.603
01331,MA,NEWE,727.603
01337,MA,NEWE,727.603
01338,MA,NEWE,727.603
01339,MA,NEWE,727.603
01340,MA,NEWE,727.603
01341,MA,NEWE,727.603
01342,MA,NEWE,727.603
01343,MA,NEWE,727.603
01344,MA,NEWE,727.603
01346,MA,NEWE,727.603
01347,MA,NEWE,727.603
01349,MA,NEWE,727.603
01350,MA,NEWE,727.603
01351,MA,NEWE,727.603
01354,MA,NEWE,727.603
01355,MA,NEWE,727.603
01360,MA,NEWE,727.603
01364,MA,NEWE,727.603
01366,MA,NEWE,727.603
01367,MA,NEWE,727.603
01368,MA,NEWE,727.603
01370,MA,NEWE,727.603
01373,MA,NEWE,727.603
01375,MA,NEWE,727.603
01376,MA,NEWE,727.603
01378,MA,NEWE,727.603
01379,MA,NEWE,727.603
01380,MA,NEWE,727.603
01420,MA,NEWE,727.603
01430,MA,NEWE,727.603
01431,MA,NEWE,727.603
01432,MA,NEWE,727.603
01434,MA,NEWE,727.603
01436,MA,NEWE,727.603
01438,MA,NEWE,727.603
01440,MA,NEWE,727.603
01441,MA,NEWE,727.603
01450,MA,NEWE,727.603
01451,MA,NEWE,727.603
01452,MA,NEWE,727.603
01453,MA,NEWE,727.603
01460,MA,NEWE,727.603
01462,MA,NEWE,727.603
01463,MA,NEWE,727.603
01464,MA,NEWE,727.603
01467,MA,NEWE,727.603
01468,MA,NEWE,727.603
01469,MA,NEWE,727.603
01470,MA,NEWE,727.603
01471,MA,NEWE,727.603
01472,MA,NEWE,727.603
01473,MA,NEWE,727.603
01474,MA,NEWE,727.603
01475,MA,NEWE,727.603
01477,MA,NEWE,727.603
01501,MA,NEWE,727.603
01503,MA,NEWE,727.603
01504,MA,NEWE,727.603
01505,MA,NEWE,727.603
01506,MA,NEWE,727.603
01507,MA,NEWE,727.603
01508,MA,NEWE,727.603
01509,MA,NEWE,727.603
01510,MA,NEWE,727.603
01515,MA,NEWE,727.603
01516,MA,NEWE,727.603
01517,MA,NEWE,727.603
01518,MA,NEWE,727.603
01519,MA,NEWE,727.603
01520,MA,NEWE,727.603
01521,MA,NEWE,727.603
01522,MA,NEWE,727.603
01523,MA,NEWE,727.603
01524,MA,NEWE,727.603
01525,MA,NEWE,727.603
01526,MA,NEWE,727.603
01527,MA,NEWE,727.603
01529,MA,NEWE,727.603
01531,MA,NEWE,727.603
01532,MA,NEWE,727.603
01534,MA,NEWE,727.603
01535,MA,NEWE,727.603
01536,MA,NEWE,727.603
01537,MA,NEWE,727.603
01538,MA,NEWE,727.603
01540,MA,NEWE,727.603
01541,MA,NEWE,727.603
01542,MA,NEWE,727.603
01543,MA,NEWE,727.603
01545,MA,NEWE,727.603
01546,MA,NEWE,727.603
01550,MA,NEWE,727.603
01560,MA,NEWE,727.603
01561,MA,NEWE,727.603
01562,MA,NEWE,727.603
01564,MA,NEWE,727.603
01566,MA,NEWE,727.603
01568,MA,NEWE,727.603
01569,MA,NEWE,727.603
01570,MA,NEWE,727.603
01571,MA,NEWE,727.603
01580,MA,NEWE,727.603
01581,MA,NEWE,727.603
01582,MA,NEWE,727.603
01583,MA,NEWE,727.603
01585,MA,NEWE,727.603
01586,MA,NEWE,727.603
01588,MA,NEWE,727.603
01590,MA,NEWE,727.603
01601,MA,NEWE,727.603
01602,MA,NEWE,727.603
01603,MA,NEWE,727.603
01604,MA,NEWE,727.603
01605,MA,NEWE,727.603
01606,MA,NEWE,727.603
01607,MA,NEWE,727.603
01608,MA,NEWE,727.603
01609,MA,NEWE,727.603
01610,MA,NEWE,727.603
01611,MA,NEWE,727.603
01612,MA,NEWE,727.603
01613,MA,NEWE,727.603
01614,MA,NEWE,727.603
01615,MA,NEWE,727.603
01653,MA,NEWE,727.603
01654,MA,NEWE,727.603
01655,MA,NEWE,727.603
01701,MA,NEWE,727.603
01702,MA,NEWE,727.603
01703,MA,NEWE,727.603
01704,MA,NEWE,727.603
01705,MA,NEWE,727.603
01718,MA,NEWE,727.603
01719,MA,NEWE,727.603
01720,MA,NEWE,727.603
01721,MA,NEWE,727.603
01730,MA,NEWE,727.603
01731,MA,NEWE,727.603
01740,MA,NEWE,727.603
01741,MA,NEWE,727.603
01742,MA,NEWE,727.603
01745,MA,NEWE,727.603
01746,MA,NEWE,727.603
01747,MA,NEWE,727.603
01748,MA,NEWE,727.603
01749,MA,NEWE,727.603
01752,MA,NEWE,727.603
01754,MA,NEWE,727.603
01756,MA,NEWE,727.603
01757,MA,NEWE,727.603
01760,MA,NEWE,727.603
01770,MA,NEWE,727.603
01772,MA,NEWE,727.603
01773,MA,NEWE,727.603
01775,MA,NEWE,727.603
01776,MA,NEWE,727.603
01778,MA,NEWE,727.603
01784,MA,NEWE,727.603
01801,MA,NEWE,727.603
01803,MA,NEWE,727.603
01805,MA,NEWE,727.603
01807,MA,NEWE,727.603
01810,MA,NEWE,727.603
01812,MA,NEWE,727.603
01813,MA,NEWE,727.603
01815,MA,NEWE,727.603
01821,MA,NEWE,727.603
01822,MA,NEWE,727.603
01824,MA,NEWE,727.603
01826,MA,NEWE,727.603
01827,MA,NEWE,727.603
01830,MA,NEWE,727.603
01831,MA,NEWE,727.603
01832,MA,NEWE,727.603
01833,MA,NEWE,727.603
01834,MA,NEWE,727.603
01835,MA,NEWE,727.603
01840,MA,NEWE,727.603
01841,MA,NEWE,727.603
01842,MA,NEWE,727.603
01843,MA,NEWE,727.603
01844,MA,NEWE,727.603
01845,MA,NEWE,727.603
01850,MA,NEWE,727.603
01851,MA,NEWE,727.603
01852,MA,NEWE,727.603
01853,MA,NEWE,727.603
01854,MA,NEWE,727.603
01860,MA,NEWE,727.603
01862,MA,NEWE,727.603
01863,MA,NEWE,727.603
01864,MA,NEWE,727.603
01865,MA,NEWE,727.603
01866,MA,NEWE,727.603
01867,MA,NEWE,727.603
01876,MA,NEWE,727.603
01879,MA,NEWE,727.603
01880,MA,NEWE,727.603
01885,MA,NEWE,727.603
01886,MA,NEWE,727.603
01887,MA,NEWE,727.603
01888,MA,NEWE,727.603
01889,MA,NEWE,727.603
01890,MA,NEWE,727.603
01899,MA,NEWE,727.603
01901,MA,NEWE,727.603
01902,MA,NEWE,727.603
01903,MA,NEWE,727.603
01904,MA,NEWE,727.603
01905,MA,NEWE,727.603
01906,MA,NEWE,727.603
01907,MA,NEWE,727.603
01908,MA,NEWE,727.603
01910,MA,NEWE,727.603
01913,MA,NEWE,727.603
01915,MA,NEWE,727.603
01921,MA,NEWE,727.603
01922,MA,NEWE,727.603
01923,MA,NEWE,727.603
01929,MA,NEWE,727.603
01930,MA,NEWE,727.603
01931,MA,NEWE,727.603
01936,MA,NEWE,727.603
01937,MA,NEWE,727.603
01938,MA,NEWE,727.603
01940,MA,NEWE,727.603
01944,MA,NEWE,727.603
01945,MA,NEWE,727.603
01949,MA,NEWE,727.603
01950,MA,NEWE,727.603
01951,MA,NEWE,727.603
01952,MA,NEWE,727.603
01960,MA,NEWE,727.603
01961,MA,NEWE,727.603
01965,MA,NEWE,727.603
01966,MA,NEWE,727.603
01969,MA,NEWE,727.603
01970,MA,NEWE,727.603
01971,MA,NEWE,727.603
01982,MA,NEWE,727.603
01983,MA,NEWE,727.603
01984,MA,NEWE,727.603
01985,MA,NEWE,727.603
02018,MA,NEWE,727.603
02019,MA,NEWE,727.603
02020,MA,NEWE,727.603
02021,MA,NEWE,727.603
02025,MA,NEWE,727.603
02026,MA,NEWE,727.603
02027,MA,NEWE,727.603
02030,MA,NEWE,727.603
02032,MA,NEWE,727.603
02035,MA,NEWE,727.603
02038,MA,NEWE,727.603
02040,MA,NEWE,727.603
02041,MA,NEWE,727.603
02043,MA,NEWE,727.603
02044,MA,NEWE,727.603
02045,MA,NEWE,727.603
02047,MA,NEWE,727.603
02048,MA,NEWE,727.603
02050,MA,NEWE,727.603
02051,MA,NEWE,727.603
02052,MA,NEWE,727.603
02053,MA,NEWE,727.603
02054,MA,NEWE,727.603
02056,MA,NEWE,727.603
02059,MA,NEWE,727.603
02060,MA,NEWE,727.603
02061,MA,NEWE,727.603
02062,MA,NEWE,727.603
02065,MA,NEWE,727.603
02066,MA,NEWE,727.603
02067,MA,NEWE,727.603
02070,MA,NEWE,727.603
02071,MA,NEWE,727.603
02072,MA,NEWE,727.603
02081,MA,NEWE,727.603
02090,MA,NEWE,727.603
02093,MA,NEWE,727.603
02108,MA,NEWE,727.603
02109,MA,NEWE,727.603
02110,MA,NEWE,727.603
02111,MA,NEWE,727.603
02112,MA,NEWE,727.603
02113,MA,NEWE,727.603
02114,MA,NEWE,727.603
02115,MA,NEWE,727.603
02116,MA,NEWE,727.603
02117,MA,NEWE,727.603
02118,MA,NEWE,727.603
02119,MA,NEWE,727.603
02120,MA,NEWE,727.603
02121,MA,NEWE,727.603
02122,MA,NEWE,727.603
02123,MA,NEWE,727.603
02124,MA,NEWE,727.603
02125,MA,NEWE,727.603
02126,MA,NEWE,727.603
02127,MA,NEWE,727.603
02128,MA,NEWE,727.603
02129,MA,NEWE,727.603
02130,MA,NEWE,727.603
02131,MA,NEWE,727.603
02132,MA,NEWE,727.603
02133,MA,NEWE,727.603
02134,MA,NEWE,727.603
02135,MA,NEWE,727.603
02136,MA,NEWE,727.603
02137,MA,NEWE,727.603
02138,MA,NEWE,727.603
02139,MA,NEWE,727.603
02140,MA,NEWE,727.603
02141,MA,NEWE,727.603
02142,MA,NEWE,727.603
02143,MA,NEWE,727.603
02144,MA,NEWE,727.603
02145,MA,NEWE,727.603
02148,MA,NEWE,727.603
02149,MA,NEWE,727.603
02150,MA,NEWE,727.603
02151,MA,NEWE,727.603
02152,MA,NEWE,727.603
02153,MA,NEWE,727.603
02155,MA,NEWE,727.603
02156,MA,NEWE,727.603
02163,MA,NEWE,727.603
02169,MA,NEWE,727.603
02170,MA,NEWE,727.603
02171,MA,NEWE,727.603
02176,MA,NEWE,727.603
02180,MA,NEWE,727.603
02184,MA,NEWE,727.603
02185,MA,NEWE,727.603
02186,MA,NEWE,727.603
02187,MA,NEWE,727.603
02188,MA,NEWE,727.603
02189,MA,NEWE,727.603
02190,MA,NEWE,727.603
02191,MA,NEWE,727.603
02196,MA,NEWE,727.603
02199,MA,NEWE,727.603
02201,MA,NEWE,727.603
02203,MA,NEWE,727.603
02204,MA,NEWE,727.603
02205,MA,NEWE,727.603
02206,MA,NEWE,727.603
02210,MA,NEWE,727.603
02211,MA,NEWE,727.603
02212,MA,NEWE,727.603
02215,MA,NEWE,727.603
02217,MA,NEWE,727.603
02222,MA,NEWE,727.603
02228,MA,NEWE,727.603
02238,MA,NEWE,727.603
02241,MA,NEWE,727.603
02266,MA,NEWE,727.603
02269,MA,NEWE,727.603
02283,MA,NEWE,727.603
02284,MA,NEWE,727.603
02293,MA,NEWE,727.603
02295,MA,NEWE,727.603
02297,MA,NEWE,727.603
02298,MA,NEWE,727.603
02301,MA,NEWE,727.603
02302,MA,NEWE,727.603
02303,MA,NEWE,727.603
02304,MA,NEWE,727.603
02305,MA,NEWE,727.603
02322,MA,NEWE,727.603
02324,MA,NEWE,727.603
02325,MA,NEWE,727.603
02327,MA,NEWE,727.603
02330,MA,NEWE,727.603
02331,MA,NEWE,727.603
02332,MA,NEWE,727.603
02333,MA,NEWE,727.603
02334,MA,NEWE,727.603
02337,MA,NEWE,727.603
02338,MA,NEWE,727.603
02339,MA,NEWE,727.603
02340,MA,NEWE,727.603
02341,MA,NEWE,727.603
02343,MA,NEWE,727.603
02344,MA,NEWE,727.603
02345,MA,NEWE,727.603
02346,MA,NEWE,727.603
02347,MA,NEWE,727.603
02348,MA,NEWE,727.603
